ticker,status,current_price,entry,sl,tp,rr,atrs_from_entry,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,earnings_date,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,finviz_url,reason
KLIC,PASS,83.13999938964844,74.00547873768456,66.57972971133123,122.53340814275704,6.535088814993767,0.6150571894866271,71.08734893798828,76.92360853738083,14.851498052706672,4.08,93.46,60267742.14422608,724894.6666666666,261.0,2026-11-18,59,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:KLIC,https://finviz.com/quote.ashx?t=KLIC,PASS entry=74.01 SL=66.58 TP=122.53 R:R=6.54 zone=[71.09-76.92] short=4.08% $vol=$60.3M
R,PASS,238.5399932861328,221.0664219265399,207.9939789667151,270.889957823935,3.8113408527018615,1.336672220586006,214.551825200326,227.58101865275376,13.072442959824796,2.27,92.01,63401481.204856366,265789.73333333334,261.0,2026-10-22,32,True,False,https://www.tradingview.com/chart/?symbol=NYSE:R,https://finviz.com/quote.ashx?t=R,PASS entry=221.07 SL=207.99 TP=270.89 R:R=3.81 zone=[214.55-227.58] short=2.27% $vol=$63.4M
AMAT,PASS,444.5700073242188,383.2881369886928,314.96744308908114,634.7512355684455,3.680628580108467,0.8390756096848322,371.5403134371029,395.0359605402826,73.0349799567458,1.98,86.96,3155062053.4201355,7096884.633333334,261.0,2026-11-12,53,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AMAT,https://finviz.com/quote.ashx?t=AMAT,PASS entry=383.29 SL=314.97 TP=634.75 R:R=3.68 zone=[371.54-395.04] short=1.98% $vol=$3155.1M
AXTA,PASS,32.20000076293945,30.614999771118164,28.399141720363072,38.18999862670898,3.418539762964288,0.7152989747159898,30.0,31.229999542236328,2.215858050755092,4.46,106.87,54267064.85912476,1685312.5333333334,261.0,2026-11-04,45,True,False,https://www.tradingview.com/chart/?symbol=NYSE:AXTA,https://finviz.com/quote.ashx?t=AXTA,PASS entry=30.61 SL=28.40 TP=38.19 R:R=3.42 zone=[30.00-31.23] short=4.46% $vol=$54.3M
KLAC,PASS,176.99000549316406,193.2526348638288,176.56481444417352,249.7477165178119,3.3854080540944675,-0.552108979225386,193.03515625,193.47011347765763,29.45546981228481,2.25,94.14,1683596843.316084,9512383.7,261.0,2026-10-28,38,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:KLAC,https://finviz.com/quote.ashx?t=KLAC,PASS entry=193.25 SL=176.56 TP=249.75 R:R=3.39 zone=[193.04-193.47] short=2.25% $vol=$1683.6M
LSCC,PASS,110.95999908447266,102.85499954223631,86.69357245309013,156.0,3.2883853736812108,0.5015027136854486,97.62999725341795,108.08000183105467,16.161427089146205,4.09,101.4,169288985.37120208,1525675.8,261.0,2026-11-02,43,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LSCC,https://finviz.com/quote.ashx?t=LSCC,PASS entry=102.85 SL=86.69 TP=156.00 R:R=3.29 zone=[97.63-108.08] short=4.09% $vol=$169.3M
USB,PASS,60.060001373291016,56.77411340905256,54.1187437398084,65.22000122070312,3.180682490078549,1.237450288860823,55.99081786742777,57.55740895067735,2.6553696692441613,1.61,84.08,401308040.3000359,6681785.4,261.0,2026-10-15,25,True,False,https://www.tradingview.com/chart/?symbol=NYSE:USB,https://finviz.com/quote.ashx?t=USB,PASS entry=56.77 SL=54.12 TP=65.22 R:R=3.18 zone=[55.99-57.56] short=1.61% $vol=$401.3M
PRI,PASS,290.5899963378906,278.8912043129458,265.8511659177223,320.22467979774984,3.1697357194856446,0.8971439861120422,273.4169251333792,284.36548349251234,13.040038395223458,3.66,95.88,53437204.66556702,183892.1,261.0,2026-11-10,51,True,False,https://www.tradingview.com/chart/?symbol=NYSE:PRI,https://finviz.com/quote.ashx?t=PRI,PASS entry=278.89 SL=265.85 TP=320.22 R:R=3.17 zone=[273.42-284.37] short=3.66% $vol=$53.4M
DAL,PASS,79.62000274658203,72.99562047022621,67.19531193957387,91.33999633789062,3.162655188206216,1.1420741226692617,71.35404205322266,74.63719888722979,5.80030853065235,3.86,89.96,443950322.9185684,5575864.2,261.0,2026-10-09,19,True,False,https://www.tradingview.com/chart/?symbol=NYSE:DAL,https://finviz.com/quote.ashx?t=DAL,PASS entry=73.00 SL=67.20 TP=91.34 R:R=3.16 zone=[71.35-74.64] short=3.86% $vol=$444.0M
MTB,PASS,227.3099975585937,218.8728714798337,208.4555987798464,251.5864398646163,3.140319863645554,0.8099169832397975,216.99322509765625,220.7525178620112,10.417272699987285,3.88,93.45,231105976.0168233,1016699.5666666668,261.0,2026-10-16,26,True,False,https://www.tradingview.com/chart/?symbol=NYSE:MTB,https://finviz.com/quote.ashx?t=MTB,PASS entry=218.87 SL=208.46 TP=251.59 R:R=3.14 zone=[216.99-220.75] short=3.88% $vol=$231.1M
